site,tomst_id,start_date,end_date,probl
L1,94213535,2021-05-13,2021-07-29,2
L10,94213531,2021-05-13,2021-07-30,2
L11,94212880,2021-04-30,2021-07-09,2
L11,94212880,2021-07-10,2021-07-30,1
L11,94212880,2021-07-31,2022-09-20,8
L12,94212879,2021-04-30,2021-07-09,2
L12,94212879,2021-07-10,2021-07-30,1
L12,94212879,2021-07-31,2022-09-20,9
L13,94213520,2021-05-13,2021-07-30,2
L14,94212878,2021-04-30,2021-07-02,2
L14,94212878,2021-07-03,2021-07-30,1
L14,94212878,2021-07-31,2022-07-18,8
L16,94213518,2021-05-13,2021-07-30,2
L18,94213517,2021-05-13,2021-07-30,2
L19,94212865,2021-04-30,2021-07-30,2
L2,94213534,2021-05-13,2021-07-29,2
L20,94212862,2021-04-30,2021-07-30,2
L21,94212863,2021-04-30,2021-07-30,2
L22,94212861,2021-04-30,2021-07-30,2
L23,94212864,2021-04-30,2021-07-30,2
L24,94200022,2020-12-17,2021-07-30,2
L25,94200023,2020-12-17,2021-07-30,2
L3,94213533,2021-05-13,2021-07-29,2
L4,94213510,2021-05-13,2021-07-29,2
L4,94213510,2021-07-30,2022-01-23,9
L5,94213506,2021-05-13,2021-07-30,2
L6,94213508,2021-05-13,2021-07-30,2
L7,94213509,2021-05-13,2021-07-30,2
L9,94213532,2021-05-13,2021-07-30,2
MAL001,94194081,2019-06-03,2019-08-24,2
MAL002,94194083,2019-06-03,2019-08-24,2
MAL003,94194042,2019-06-03,2019-08-24,2
MAL004,94194117,2019-06-03,2019-08-23,2
MAL005,94194119,2019-06-03,2019-08-23,2
MAL006,94194120,2019-06-03,2019-08-23,2
MAL006,94194120,2021-06-21,2021-08-23,1
MAL006,94194120,2022-08-17,2022-09-25,3
MAL007,94194118,2019-06-03,2019-08-23,2
MAL007,94194118,2022-08-22,2022-09-25,3
MAL008,94194108,2019-06-03,2019-08-05,2
MAL009,94194106,2019-06-03,2019-08-05,2
MAL010,94194105,2019-06-03,2019-08-05,2
MAL011,94194085,2019-06-03,2019-08-24,2
MAL012,94194082,2019-06-03,2019-08-24,2
MAL013,94194088,2019-06-03,2019-08-24,2
MAL014,94194090,2019-06-03,2019-08-24,2
MAL015,94194061,2019-06-03,2019-08-23,2
MAL015,94194061,2022-07-31,2022-09-25,3
MAL016,94194067,2019-06-03,2019-08-23,2
MAL017,94194063,2019-06-03,2019-08-23,2
MAL018,94194107,2019-06-03,2019-08-05,2
MAL019,94194104,2019-06-03,2019-08-05,2
MAL020,94194103,2019-06-03,2019-08-05,2
MAL020,94194103,2020-07-03,2020-08-06,3
MAL021,94194084,2019-06-03,2019-08-24,2
MAL022,94194089,2019-06-03,2019-08-24,2
MAL023,94194068,2019-06-03,2019-08-23,2
MAL024,94194069,2019-06-03,2019-08-23,2
MAL025,94194070,2019-06-03,2019-08-23,2
MAL026,94194066,2019-06-03,2019-08-23,2
MAL027,94194147,2019-06-03,2019-08-07,2
MAL028,94194110,2019-06-03,2019-08-05,2
MAL029,94194102,2019-06-03,2019-08-05,2
MAL030,94194101,2019-06-03,2019-08-05,2
MAL031,94194086,2019-06-03,2019-08-24,2
MAL032,94194079,2019-06-03,2019-08-28,2
MAL033,94194065,2019-06-03,2019-08-23,2
MAL034,94194064,2019-06-03,2019-08-23,2
MAL035,94194062,2019-06-03,2019-08-23,2
MAL036,94194150,2019-06-03,2019-08-07,2
MAL036,94194150,2020-07-12,2020-08-07,1
MAL037,94194151,2019-06-03,2019-08-07,2
MAL038,94194155,2019-06-03,2019-08-07,2
MAL039,94194121,2019-06-03,2019-08-06,2
MAL040,94194134,2019-06-03,2019-08-08,2
MAL041,94194144,2019-06-03,2019-08-07,2
MAL041,94194144,2022-06-04,2022-08-19,3
MAL042,94194142,2019-06-03,2019-08-07,2
MAL043,94194145,2019-06-03,2019-08-07,2
MAL044,94194138,2019-06-03,2019-08-08,2
MAL045,94194149,2019-06-03,2019-08-07,2
MAL046,94194132,2019-06-03,2019-08-08,2
MAL047,94194136,2019-06-03,2019-08-08,2
MAL047,94194136,2022-06-04,2022-09-26,3
MAL048,94194122,2019-06-03,2019-08-06,2
MAL049,94194123,2019-06-03,2019-08-06,2
MAL050,94194146,2019-06-03,2019-08-06,2
MAL051,94194143,2019-06-03,2019-08-07,2
MAL052,94194199,2019-06-03,2019-08-09,2
MAL052,94194199,2021-08-15,2022-08-19,6
MAL053,94194194,2019-06-03,2019-08-09,2
MAL054,94194139,2019-06-03,2019-08-08,2
MAL055,94194137,2019-06-03,2019-08-08,2
MAL055,94194137,2021-08-25,2021-08-25,1
MAL056,94194140,2019-06-03,2019-08-08,2
MAL056,94194140,2020-01-02,2020-01-02,1
MAL056,94194140,2020-08-10,2020-08-10,1
MAL057,94194126,2019-06-03,2019-08-06,2
MAL058,94194127,2019-06-03,2019-08-06,2
MAL059,94194124,2019-06-03,2019-08-06,2
MAL060,94194141,2019-06-03,2019-08-06,2
