Col_name
meta_id
Country_code
Experiment_name
Experimental_manipulation
Experiment_insitu
Experiment_climate
Experiment_citizens
Experiment_design
Experiment_doi
Experiment_comment
Site_id
Elevation
Habitat_type
Habitat_sub_type
Site_comments
Logger_code
Raw_data_identifier
Latitude
Longitude
EPSG
GPS_accuracy
Logger_serial_number
Logger_brand
Logger_type
Logger_age
Logger_comment
Sensor_code
Sensor_shielding
Sensor_shielding_type
Microclimate_measurement
Unit
Sensor_accuracy
Temporal_resolution
Sensor_height
Sensor_length
Start_date_year
Start_date_month
Start_date_day
End_date_year
End_date_month
End_date_day
Timezone
Time_difference
Licence
Sensor_comments
Species_composition
Species_trait
