tomst_id,T1,T2,T3
94194213,0,0.0077,-0.1111
94194224,0.0293,-0.1784,0
94194342,0,-0.0744,0.0353
94194355,0.0949,0,-0.0816
94194214,0.1591,-0.0031,0
94194352,0.0488,-0.1328,0
94194341,0.1834,-0.0265,0
94194347,0.013,0,-0.0283
94194236,0.1051,0,-0.0548
94194346,0.0507,0,-0.0661
94194223,0.0862,-0.1102,0
94194237,0.027,-0.0049,0
94184880,0.0651,-1e-04,0
94184818,0.1982,0,-0.0803
94184867,0,-0.0607,0.0102
94184836,0.0641,0,-0.0483
94184819,0.0099,-0.1304,0
94184813,0.0824,0,-0.0138
94184828,0.1132,0,-0.0584
94184872,0,-0.0834,0.0124
94184816,0.0349,-0.0077,0
94184839,0.1458,-0.074,0
94184827,0,0.0297,-0.0201
94184838,0.0578,-0.0257,0
94184840,0.0038,-0.0082,0
94184863,0.0452,-0.0808,0
94184869,0.0127,0,-0.0945
94184866,0,-0.0751,0.1902
94184865,0.1503,0,-0.001
94184824,0.0231,-0.0409,0
94184817,0.0773,0,-0.0172
94184878,0.2195,-0.0127,0
94184837,0.0462,0,-0.0867
94184815,0,0.0348,-0.0707
94184875,-0.0308,0.0097,0
94184830,0,-0.0154,0.136
94184874,0.0783,-0.0241,0
94194422,0,0.0142,-0.0526
94184832,0,0.0463,-0.0328
94184834,0.108,-0.0834,0
94184825,-0.0189,0,0.0723
94184812,0.0741,-0.0356,0
94184823,0,0.0154,-0.0911
94184879,0.045,0,-0.0516
94184864,0.2156,-0.0169,0
94184833,-0.0409,0,0.1329
94184831,-0.0063,0,0.0038
94184835,0,-0.1101,0.0195
94184876,0,-0.0396,0.1292
94184821,0.0308,0,-0.203
94184814,0.0412,0,-0.0322
94184820,0.0781,-0.0908,0
94184829,0.0411,0,-0.1387
94184811,-0.0404,0.128,0
94184822,0.1572,0,-0.1043
94184826,0.2185,-0.031,0
94184870,0.1738,0,-0.0319
94184868,0,-0.0274,0.0289
94184861,0.0107,-0.0353,0
94184862,0,0.0038,-0.0462
94194171,0.1201,0,-0.0165
94194173,0.0794,-0.1195,0
94194172,0.074,0,-0.0654
94194174,0,-0.1056,0.0219
94194176,0.1558,-0.0513,0
94194049,0.0086,-0.0445,0
94194047,0.2618,0,-0.0114
94194028,0.295,-0.0763,0
